name,stars,commits
alexdobin/STAR,1951,1051
Novum/vkQuake,1951,1661
gen2brain/raylib-go,1945,884
liballeg/allegro5,1944,3121
djpohly/dwl,1934,931
ZerBea/hcxdumptool,1934,1508
c-ares/c-ares,1932,2602
Lora-net/LoRaMac-node,1920,982
zetaloop/ExplorerPatcher,1919,818
ArtifexSoftware/mupdf,1918,11072
free-audio/clap,1917,1588
jiangwenyuan/nuster,1909,6531
lattera/glibc,1906,3957
cossacklabs/themis,1905,1099
PipeWire/pipewire,1900,12965
varnish/hitch,1893,756
luigirizzo/netmap,1889,4006
jarikomppa/soloud,1889,1042
luke-jr/bfgminer,1881,12079
xiph/flac,1875,1619
msysgit/msysgit,1870,1033
elfmz/far2l,1869,4208
pmwkaa/sophia,1866,634
sustrik/libdill,1859,1243
raspberrypi/rpi-imager,1853,608
Stephane-D/SGDK,1852,1797
monero-project/monero-gui,1849,2602
gbdk-2020/gbdk-2020,1848,1582
center-for-threat-informed-defense/adversary_emulation_library,1843,677
mkj/dropbear,1832,1810
openocd-org/openocd,1830,4921
bluekitchen/btstack,1827,13431
lavabit/magma,1821,1249
espressif/esp-adf,1819,758
cgsecurity/testdisk,1817,3355
igraph/igraph,1815,9720
rapid7/metasploit-payloads,1811,2373
pikvm/ustreamer,1809,1423
baresip/baresip,1803,4175
EricssonResearch/openwebrtc,1799,544
libusb/hidapi,1796,597
nanomq/nanomq,1793,3494
droe/sslsplit,1793,846
sdlpal/sdlpal,1789,951
pocketpy/pocketpy,1787,3170
PufferAI/PufferLib,1787,620
siemens/jailhouse,1785,2852
LIJI32/SameBoy,1783,2314
nfc-tools/libnfc,1780,1825
EdgeTX/edgetx,1769,17684
moosefs/moosefs,1765,676
plugdata-team/plugdata,1764,7787
cgdb/cgdb,1759,1434
vgmstream/vgmstream,1754,4992
FWGS/xash3d-fwgs,1750,5281
PromyLOPh/pianobar,1745,838
mirror/busybox,1744,3323
lexbor/lexbor,1743,615
RRZE-HPC/likwid,1736,2898
zlib-ng/zlib-ng,1735,2416
linux-rdma/rdma-core,1728,4334
ardera/flutter-pi,1723,678
commonmark/cmark,1723,2392
DeaDBeeF-Player/deadbeef,1722,11433
pschatzmann/arduino-audio-tools,1714,3136
illumos/illumos-gate,1711,7804
tizonia/tizonia-openmax-il,1703,3261
RogueMaster/awesome-flipperzero-withModules,1703,926
AOMediaCodec/libavif,1702,2025
o-gs/dji-firmware-tools,1697,1297
9fans/plan9port,1696,1236
samtools/samtools,1691,1984
pure-data/pure-data,1688,5887
AcademySoftwareFoundation/openexr,1680,2083
OP-TEE/optee_os,1676,7082
vinniefalco/LuaBridge,1673,514
osmc/osmc,1665,9022
SpenceKonde/ATTinyCore,1662,1616
PortAudio/portaudio,1657,725
sarah-walker-pcem/pcem,1657,1023
letoram/arcan,1654,3415
vstakhov/libucl,1654,935
mintty/mintty,1652,2446
openshwprojects/OpenBK7231T_App,1650,3245
LukeSmithxyz/st,1647,760
NagiosEnterprises/nagioscore,1646,1793
scanmem/scanmem,1639,528
derf/feh,1638,1094
tideways/php-xhprof-extension,1635,734
metacall/core,1634,3493
momotech/MLN,1631,667
ipxe/ipxe,1631,3769
OpenDUNE/OpenDUNE,1628,3110
buserror/simavr,1626,846
ClassiCube/ClassiCube,1624,7745
vlfeat/vlfeat,1623,1333
WillPower3309/swayfx,1621,4302
RoaringBitmap/CRoaring,1620,1386
GNOME/glib,1617,18812
praat/praat,1613,5704
EnterpriseDB/repmgr,1610,1949
FastVM/minivm,1610,904
TritonDataCenter/smartos-live,1598,1918
soedinglab/MMseqs2,1595,4858
facebookarchive/profilo,1593,696
eggert/tz,1587,2387
paparazzi/paparazzi,1586,13529
lh3/bwa,1584,743
jmcnamara/libxlsxwriter,1584,970
atomvm/AtomVM,1582,2573
oracle/bpftune,1574,537
commaai/panda,1569,2718
antimof/UxPlay,1568,1109
linux-nvme/nvme-cli,1560,2873
nfs-ganesha/nfs-ganesha,1557,9537
CANopenNode/CANopenNode,1556,646
mltframework/mlt,1554,4724
bminor/glibc,1550,17827
SuperHouse/esp-open-rtos,1548,712
dynup/kpatch,1546,1371
stclib/STC,1545,2707
OpenRC/openrc,1544,3566
libsndfile/libsndfile,1537,2425
Kode/Kha,1535,2619
quickjs-ng/quickjs,1531,749
libimobiledevice/usbmuxd,1531,543
OpenVPN/openvpn-gui,1527,742
orx/orx,1526,5878
krakjoe/parallel,1523,595
sbabic/swupdate,1516,2569
streetpea/chiaki-ng,1515,1686
systemd/casync,1514,629
protocolbuffers/upb,1509,2053
vergoh/vnstat,1503,1034
miniupnp/miniupnp,1500,2275
vroland/epdiy,1490,692
jonasmr/microprofile,1489,730
ngs-lang/ngs,1487,2470
brianmario/yajl-ruby,1487,710
egzumer/uv-k5-firmware-custom,1481,632
darthcloud/BlueRetro,1468,1388
mcu-tools/mcuboot,1462,2160
mopemope/meinheld,1462,569
trezor/trezor-firmware,1459,14171
omnigres/omnigres,1458,1353
libimobiledevice/idevicerestore,1453,908
Softmotions/ejdb,1451,2675
Harvey-OS/harvey,1446,2999
cherry-embedded/CherryUSB,1443,1305
HelenOS/helenos,1438,13470
OpenIPC/firmware,1435,2681
AltraMayor/gatekeeper,1435,862
TheOfficialFloW/VitaShell,1429,753
bloomberg/comdb2,1426,4348
joeycastillo/Sensor-Watch,1415,1006
ARM-software/CMSIS_5,1411,2816
pmret/papermario,1410,2431
pangweiwei/slua,1410,1139
aldostools/webMAN-MOD,1409,1365
ipmitool/ipmitool,1408,1515
elishacloud/dxwrapper,1407,1761
Fazecast/jSerialComm,1406,517
leo-arch/clifm,1405,8076
ganelson/inform,1402,2232
keirf/flashfloppy,1402,1149
hirrolot/datatype99,1400,509
libssh2/libssh2,1400,2502
Water-Melon/Melon,1396,838
ravachol/kew,1396,922
pimoroni/pimoroni-pico,1392,1925
libressl/portable,1391,2055
Moddable-OpenSource/moddable,1389,5293
SELinuxProject/selinux,1389,3561
zeldaret/mm,1386,2395
yasm/yasm,1384,2055
alephsecurity/xnu-qemu-arm64,1383,1773
hanwckf/immortalwrt-mt798x,1381,1025
kevinlawler/kona,1379,1408
emukidid/swiss-gc,1379,1804
ninia/jep,1378,848
fanglingsu/vimb,1377,1686
pnggroup/libpng,1375,855
cisco-system-traffic-generator/trex-core,1373,5896
angband/angband,1373,7383
ostreedev/ostree,1368,6113
profanity-im/profanity,1367,6398
file/file,1364,4860
pmem/pmdk,1363,10735
mupen64plus/mupen64plus-core,1361,1820
logrotate/logrotate,1358,654
nginx/njs,1357,2360
conformal/spectrwm,1357,894
Xilinx/Vitis-Tutorials,1346,912
zpl-c/librg,1345,655
FDio/vpp,1345,9598
mackron/dr_libs,1344,2413
freeciv/freeciv,1343,20273
webserver-llc/angie,1341,9890
nmathewson/libevent_obsolete,1338,3383
OpenSIPS/opensips,1334,15582
schrodinger/pymol-open-source,1332,1769
