repo,BFC_sha,BIC_sha
redis/redis,c2d8d4e648faa172a65a88fcffaf4ccc10a1ad78,9d520a7f
redis/redis,b458b2999b749950c5ea9468cfa5ab74782848c3,052e03495f
redis/redis,971e3c51b63e7a5ced6a953bdfd2d9bd53b25e52,d827dbf
obsproject/obs-studio,df4eb8219cfcd8b74a14e3caabd56bf0f648faea,dc4e20500
obsproject/obs-studio,14bfa071688cdf36a8efa8543b0e8e2902fabf2f,d7848f3cb74
mpv-player/mpv,4747865fefbc057e0c7998c361fe41ca2e9d9d4f,e2284fba1
mpv-player/mpv,0f2370476b4279040261878c601fb8015a8502d7,a714f8e928
mpv-player/mpv,221a574a503604fbda6f25f171852d99e49de06b,1f8013ff3fddd788a517656e09f5ce5d7efd928d
mpv-player/mpv,2dc8e70093d9f80a01696f059ff02784bcb7b5f0,2e7fcc5a2
mpv-player/mpv,873ae0de2af3bb84a11e5e57f6e3a8942b2263c2,d07b7f0
facebook/zstd,dc904ad17bf608db483f6187bdbcd5ed43fea88d,bb68062c590dbd46905907dd2a63a658040a79d4
micropython/micropython,fd1e66edb3ef479016dbcc5aa7158d8fdfec5793,35fb90bd57e1a3259aaf67cede50628da6888485
micropython/micropython,b31cb21a3936b97af4a52b082e1f40c2061aeab7,70affd9ba22e7f62666a9a2fafc2a3c0be9ef95a
valkey-io/valkey,c2d8d4e648faa172a65a88fcffaf4ccc10a1ad78,9d520a7f
valkey-io/valkey,b458b2999b749950c5ea9468cfa5ab74782848c3,052e03495f
valkey-io/valkey,971e3c51b63e7a5ced6a953bdfd2d9bd53b25e52,d827dbf
swaywm/sway,f7aed5c7e596bc2f03426d6a91214123000d7ed7,662466e8db773926bf61b21280194a3540ae26ec
swaywm/sway,5896781df45405d41545e6227f6749ee862e05ce,5967ee1fbcba66ea57d971b924a51209a70d3aaa
glfw/glfw,fd7e737216dfdcecd4522b7d8c8dd2439d3dac3b,2c204ab52ecaa51bfd32b777aef715dae937f009
glfw/glfw,9372ba95faabd1bb45280d201d6ccdae77bf872e,fe57e3c2921a1901390534e1e51053df70b5644b
glfw/glfw,a1154247fad6ebd1e109e4cdbc32b93266646835,72ac5badb0a188b0d912b1e4fa79a5e143253474
glfw/glfw,2023095d8e63e50fb48f28d1d5643591eec19124,8597002a177beb56db09cd1a9fca0025687dc706
